Dimension ID,Member Name,Classification Code,Member ID,Parent Member ID,Terminated,Member Notes,Member Correction Notes,Member Geo Attribute Keys,Member Definitions
4,Burmese,,302,301,,,,,
4,Kuki-Chin languages,,303,301,,,,,
4,Karenic languages,,304,301,,,,,
4,S'gaw Karen,,305,304,,,,,
4,"Karenic languages, n.i.e.",,306,304,,,,,
4,Tibetan,,307,301,,,,,
4,"Tibeto-Burman languages, n.i.e.",,308,301,,,,,
4,"Sino-Tibetan languages, n.i.e.",,309,291,,,,,
4,Tai-Kadai languages,,310,98,,,,,
4,Lao,,311,310,,,,,
4,Thai,,312,310,,,,,
4,"Tai-Kadai languages, n.i.e.",,313,310,,,,,
4,Turkic languages,,314,98,,,,,
4,Azerbaijani,,315,314,,,,,
4,Kazakh,,316,314,,,,,
4,Turkish,,317,314,,,,,
4,Uyghur,,318,314,,,,,
4,Uzbek,,319,314,,,,,
4,"Turkic languages, n.i.e.",,320,314,,,,,
4,Uralic languages,,321,98,,,,,
4,Estonian,,322,321,,,,,
4,Finnish,,323,321,,,,,
4,Hungarian,,324,321,,,,,
4,"Other languages, n.i.e.",,325,98,,,,,
4,Multiple responses,,326,1,,,,,
4,English and French,,327,326,,,,,
4,English and non-official language(s),,328,326,,,,,
4,French and non-official language(s),,329,326,,,,,
4,"English, French and non-official language(s)",,330,326,,,,,
4,Multiple non-official languages,,331,326,,,,,
