Dimension ID,Member Name,Classification Code,Member ID,Parent Member ID,Terminated,Member Notes,Member Correction Notes,Member Geo Attribute Keys,Member Definitions
1,"Strathmore (CA), Alta.",[826],137,121,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Sylvan Lake (CA), Alta.",[831],138,121,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Wetaskiwin (CA), Alta.",[865],139,121,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Wood Buffalo (CA), Alta.",[860],140,121,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,British Columbia,[59],141,1,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Abbotsford - Mission (CMA), B.C.",[932],142,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Campbell River (CA), B.C.",[944],143,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Chilliwack (CMA), B.C.",[930],144,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Courtenay (CA), B.C.",[943],145,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Cranbrook (CA), B.C.",[905],146,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Dawson Creek (CA), B.C.",[975],147,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Duncan (CA), B.C.",[937],148,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Fort St. John (CA), B.C.",[977],149,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Kamloops (CMA), B.C.",[925],150,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Kelowna (CMA), B.C.",[915],151,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Ladysmith (CA), B.C.",[936],152,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Nanaimo (CMA), B.C.",[938],153,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Nelson (CA), B.C.",[907],154,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Parksville (CA), B.C.",[939],155,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Penticton (CA), B.C.",[913],156,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Port Alberni (CA), B.C.",[940],157,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Powell River (CA), B.C.",[945],158,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Prince George (CA), B.C.",[970],159,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Prince Rupert (CA), B.C.",[955],160,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Quesnel (CA), B.C.",[952],161,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Salmon Arm (CA), B.C.",[920],162,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Squamish (CA), B.C.",[934],163,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Terrace (CA), B.C.",[965],164,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Trail (CA), B.C.",[910],165,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Vancouver (CMA), B.C.",[933],166,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Vernon (CA), B.C.",[918],167,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Victoria (CMA), B.C.",[935],168,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Williams Lake (CA), B.C.",[950],169,141,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,Yukon,[60],170,1,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Whitehorse (CA), Y.T.",[990],171,170,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,Northwest Territories,[61],172,1,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,"Yellowknife (CA), N.W.T.",[995],173,172,,,,17;3;4;5;9;10;14;15;12;13;16;18,
1,Nunavut,[62],174,1,,,,17;3;4;5;9;10;14;15;12;13;16;18,
